nama_shelter;alamat_shelter;latitude;longitude;jenis_hewan
CANNAVARO PETSHOP;Jln. P. Diponegoro Gg. Pemadam No. 100 AB, Mencirim, Kec. Binjai Tim., Kota Binjai, Sumatera Utara 20733;3.590522203775110;98.505005438010200;Kucing
WM PETHOUSE;Jl. Marelan Raya Ps. II No.88, Rengas Pulau, Kec. Medan Marelan, Kota Medan, Sumatera Utara 20255;3.699783773103690;98.657293303083300;Kucing
WM PETHOUSE;Jl. Marelan Raya Ps. II No.88, Rengas Pulau, Kec. Medan Marelan, Kota Medan, Sumatera Utara 20255;3.699783773103690;98.657293303083300;Anjing
Achmad Cattery;Simpang Selayang, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara 20135;3.524260625638900;98.616655696210800;Kucing
Blue and white rabbitry;Jl. Pengintai No.795, Tembung, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371;3.603429429106070;98.750516127626300;Lainnya
Rubyshine Cattery & Catshop;Jl. Puri Gg. Subur No.29, Kota Matsum I, Kec. Medan Area, Kota Medan, Sumatera Utara 20215;3.578893133655390;98.691707680688800;Kucing
Pet shop dan Klinik Hewan Binjai;Depan Hotel Graha Kardopa, Jl. Sultan Hasanuddin, Binjai, Kec. Binjai Kota, Kota Binjai, Sumatera Utara 20742;3.601500592641060;98.481268138191300;Kucing
Indo Pet Centre;Gg. Wisata II No.17a, Pangkalan Masyhur, Kec. Medan Johor, Kota Medan, Sumatera Utara 20143;3.537182269847510;98.664250417773700;Kucing
TonsKennel Medan Petshop;Jalan Sabaruddin, Dalam Q No.31, Medan Area, Medan City, North Sumatra 20214;3.584947903006620;98.697190968845800;Kucing
TonsKennel Medan Petshop;Jalan Sabaruddin, Dalam Q No.31, Medan Area, Medan City, North Sumatra 20214;3.584947903006620;98.697190968845800;Anjing
Nugros Birds Farm;Gg. Murni No.10, Beringin, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20157;3.546531269099610;98.657254830039300;Lainnya
GROOMING CAT MOMMY (Jasa Perawatan Hewan);Jl. Sutan Sori Pada Mulia No.98, Bonan Dolok, Kec. Padangsidimpuan Utara, Kota Padang Sidempuan, Sumatera Utara 22733;1.399162373908340;99.264523558986400;Kucing
Sidimpuan Ternak PS & PetShop;Jl. Sisingamangaraja, Sitamiang, Kec. Padangsidimpuan Sel., Kota Padang Sidempuan, Sumatera Utara 22711;1.382206465198480;99.274581598062300;Anjing
Sidimpuan Ternak PS & PetShop;Jl. Sisingamangaraja, Sitamiang, Kec. Padangsidimpuan Sel., Kota Padang Sidempuan, Sumatera Utara 22711;1.382206465198480;99.274581598062300;Kucing
Pippo Petshop 2;Jl. Sangnawaluh No.8D, Siopat Suhu, Kec. Siantar Tim., Kota Pematang Siantar, Sumatera Utara 21136;2.961790295971320;99.078372864816200;Anjing
Doramon Cathouse;Jl. Seram, Bantan, Kec. Siantar Bar., Kota Pematang Siantar, Sumatera Utara 21142;2.964058795165510;99.054231816937600;Kucing
Tata Petshop;Jl. Sisingamangaraja No.123, Pancuran Gerobak, Sibolga Kota, Kota Sibolga, Sumatera Utara 22511;1.738302437245540;98.786142386082200;Kucing
Tata Petshop;Jl. Sisingamangaraja No.123, Pancuran Gerobak, Sibolga Kota, Kota Sibolga, Sumatera Utara 22511;1.738302437245540;98.786142386082200;Anjing
Tata Petshop;Jl. Sisingamangaraja No.123, Pancuran Gerobak, Sibolga Kota, Kota Sibolga, Sumatera Utara 22511;1.738302437245540;98.786142386082200;Lainnya
BANG BOY CAT PETSHOP;Jl. Sirandorung No.115-123, Padang Bulan, Kec. Rantau Utara, Kab. Labuhanbatu, Sumatera Utara 21411;2.090010548212730;99.830724156751800;Kucing
Grooming Makmur (Pet Cat Abay);Jl. Kamboja No.32, Hutan, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371;3.592063794046790;98.759051827624000;Kucing
